Dr.MundoMid,42.2,1,
Dr.MundoSupport,50.8,2.5,
Dr.MundoAd Carry,33.7,0,
DravenTop,45.4,0.6,
DravenJungle,31.6,0.6,
DravenMid,34.8,0.6,
DravenSupport,19.7,0,
DravenAd Carry,50.5,98.1,
EkkoTop,47.6,16.1,
EkkoJungle,50.1,46.7,
EkkoMid,46.4,36.5,
EkkoSupport,49.2,0.6,
EkkoAd Carry,34.8,0,
EliseTop,44.2,1.3,
EliseJungle,51,97.4,
EliseMid,39.5,0.9,
EliseSupport,42.2,0.3,
EliseAd Carry,42.9,0,
EvelynnTop,39.2,0.3,
EvelynnJungle,50.6,98.2,
EvelynnMid,39.9,1.4,
EvelynnSupport,44.1,0.1,
EvelynnAd Carry,19.8,0,
EzrealTop,44.7,0.5,
EzrealJungle,36,0.6,
EzrealMid,43.6,9.6,
EzrealSupport,39.8,0.2,
EzrealAd Carry,49.4,89,
FiddlesticksTop,46.8,1.6,
FiddlesticksJungle,49.9,79.5,
FiddlesticksMid,45.4,5.9,
FiddlesticksSupport,45.9,12.9,
FiddlesticksAd Carry,26.3,0.1,
FioraTop,51,93.4,
FioraJungle,46.1,2.8,
FioraMid,48.6,3.6,
FioraSupport,41.2,0.1,
FioraAd Carry,52.9,0.1,
FizzTop,47.7,8.8,
FizzJungle,51.1,22.1,
FizzMid,49.8,68.7,
FizzSupport,55.1,0.3,
FizzAd Carry,47.4,0,
GalioTop,52.3,20,
GalioJungle,43.4,3.1,
GalioMid,52.6,64.3,
GalioSupport,48.5,12.6,
GalioAd Carry,0,0.1,
GangplankTop,49.9,83.1,
GangplankJungle,42.2,1.3,
GangplankMid,51.1,15.2,
GangplankSupport,39.2,0.2,
GangplankAd Carry,47.3,0.1,
GarenTop,51.7,95.9,
GarenJungle,45.5,2.5,
GarenMid,45.8,1.2,
GarenSupport,42.8,0.3,
GarenAd Carry,54.7,0,
GnarTop,48.1,97.2,
GnarJungle,43,1.7,
GnarMid,40.5,0.6,
GnarSupport,41.3,0.3,
GnarAd Carry,40.7,0.1,
GragasTop,39.9,3.5,
GragasJungle,47,90.8,
GragasMid,38.8,3.5,
GragasSupport,48.2,2.2,
GragasAd Carry,31.2,0,
GravesTop,42.6,0.3,
GravesJungle,34.6,0.5,
GravesMid,36,0.4,
GravesSupport,30.5,0,
GravesAd Carry,49.5,98.7,
HecarimTop,51.4,48.7,
HecarimJungle,50.4,50.2,
HecarimMid,43,1,
HecarimSupport,37.2,0.1,
HecarimAd Carry,28.5,0,
HeimerdingerTop,52.5,50,
HeimerdingerJungle,38.4,1.8,
HeimerdingerMid,52.4,44.5,
HeimerdingerSupport,48.4,3,
HeimerdingerAd Carry,51.1,0.7,
IreliaTop,51.3,89.5,
IreliaJungle,49.6,5.2,
IreliaMid,51.9,4.9,
IreliaSupport,49.7,0.3,
IreliaAd Carry,55.4,0.1,
JannaTop,50.2,0.3,
JannaJungle,47.9,1.1,
JannaMid,39.5,0.4,
JannaSupport,51.6,98.2,
JannaAd Carry,43.9,0,
Jarvan IVTop,51.5,26.5,
Jarvan IVJungle,49.2,68.6,
Jarvan IVMid,48.5,3.4,
Jarvan IVSupport,50.1,1.4,
Jarvan IVAd Carry,45.9,0.1,
JaxTop,49.4,57.6,
JaxJungle,50.7,40.8,
JaxMid,42.3,1.3,
JaxSupport,43.1,0.3,
JaxAd Carry,50.1,0,
JayceTop,48.5,52.2,
JayceJungle,44.1,2,
JayceMid,49.2,41.8,
JayceSupport,43.7,0.2,
JayceAd Carry,45.1,3.8,
JinxTop,50.8,0.3,
JinxJungle,40,0.6,
JinxMid,33,0.3,
JinxSupport,29.1,0,
JinxAd Carry,52.4,98.8,
KalistaTop,47.1,0.5,
KalistaJungle,35.7,0.7,
KalistaMid,36.3,0.5,
KalistaSupport,41.8,0.1,
KalistaAd Carry,49.9,98.2,
KarmaTop,52.5,5.6,
KarmaJungle,46.4,2.2,
KarmaMid,50.4,25.9,
KarmaSupport,48.2,66.2,
KarmaAd Carry,29.2,0.1,
KarthusTop,52,9.2,
KarthusJungle,48.7,3.6,
KarthusMid,51.2,85.1,
KarthusSupport,46.2,1.9,
KarthusAd Carry,47.8,0.2,
KassadinTop,43.7,11.6,
KassadinJungle,41.2,1.8,
KassadinMid,46,86.3,
KassadinSupport,46.1,0.2,
KassadinAd Carry,35.7,0,
KatarinaTop,48,2.8,
KatarinaJungle,47.6,3.8,
KatarinaMid,49.6,91.9,
KatarinaSupport,44.3,1.4,
KatarinaAd Carry,42.1,0.1,
KayleTop,50.8,25.2,
KayleJungle,49.7,29.8,
KayleMid,52,38.4,
KayleSupport,48,6,
KayleAd Carry,44.7,0.6,
KennenTop,51.7,43,
KennenJungle,41.8,1.2,
KennenMid,49.8,12.7,
KennenSupport,48.2,22.7,
KennenAd Carry,47.9,20.4,
Kha'ZixTop,46.5,6.6,
Kha'ZixJungle,48.8,89.1,
Kha'ZixMid,42.9,4.1,
Kha'ZixSupport,39.6,0.1,
Kha'ZixAd Carry,33.3,0,
KindredTop,41.6,5,
KindredJungle,51.33,76.8,
KindredMid,40.7,2.6,
KindredSupport,37,0.4,
KindredAd Carry,46.5,15.2,
Kog'MawTop,42,0.8,
Kog'MawJungle,32.4,0.6,
Kog'MawMid,49.4,17.5,
Kog'MawSupport,43,0.1,
Kog'MawAd Carry,49.9,80.9,
LeBlancTop,46.7,1.3,
LeBlancJungle,44.7,1.8,
LeBlancMid,46.8,94.5,
LeBlancSupport,46.6,2.4,
LeBlancAd Carry,34.6,0.1,
Lee SinTop,46.2,4.7,
Lee SinJungle,48.6,92.2,
Lee SinMid,40.1,1.9,
Lee SinSupport,45.8,1.1,
Lee SinAd Carry,39.9,0,
LeonaTop,43.3,0.4,
LeonaJungle,45.7,1.6,
LeonaMid,31.7,0.3,
LeonaSupport,51,97.7,
LeonaAd Carry,18.1,0,
LissandraTop,50.9,39.3,
LissandraJungle,48.9,2.2,
LissandraMid,50.6,57.3,
LissandraSupport,47.2,1.1,
LissandraAd Carry,51.8,0.1,
LucianTop,44.6,0.3,
LucianJungle,32.5,0.6,
LucianMid,38.7,0.8,
LucianSupport,28.6,0,
LucianAd Carry,47.3,98.3,
LuluTop,48.5,21.9,
LuluJungle,46.8,1.6,
LuluMid,48.9,30.7,
LuluSupport,48.5,45.6,
LuluAd Carry,43.3,0.2,
LuxTop,52,0.9,
LuxJungle,52.3,1.8,
LuxMid,54.2,82.7,
LuxSupport,50.3,14.5,
LuxAd Carry,50.2,0.1,
MalphiteTop,52.8,64.1,
MalphiteJungle,49.8,12.2,
MalphiteMid,48.6,7.8,
MalphiteSupport,52,16,
MalphiteAd Carry,48.4,0,
MalzaharTop,51.8,5.7,
MalzaharJungle,50.1,3.1,
MalzaharMid,54.1,90.1,
MalzaharSupport,47,1,
MalzaharAd Carry,38.8,0.2,
MaokaiTop,47.4,66.9,
MaokaiJungle,48.8,27.7,
MaokaiMid,37.9,1.1,
MaokaiSupport,47.7,4.3,
MaokaiAd Carry,50.1,0,
Master YiTop,47.8,5.9,
Master YiJungle,49.9,88.5,
Master YiMid,44.1,5.4,
Master YiSupport,32.6,0.1,
Master YiAd Carry,53.8,0.1,
Miss FortuneTop,44.6,0.5,
Miss FortuneJungle,35.1,0.6,
Miss FortuneMid,41.4,1.6,
Miss FortuneSupport,46.2,0.3,
Miss FortuneAd Carry,51.1,97,
MordekaiserTop,44.3,26.7,
MordekaiserJungle,42.6,4.5,
MordekaiserMid,42.1,9.2,
MordekaiserSupport,40.9,3,
MordekaiserAd Carry,56.9,56.6,
MorganaTop,50.6,1.7,
MorganaJungle,48.4,1.5,
MorganaMid,52.6,18.4,
MorganaSupport,50.3,78.4,
MorganaAd Carry,42,0,
NamiTop,48.7,0.2,
NamiJungle,50.2,0.9,
NamiMid,31.2,0.3,
NamiSupport,51.7,98.5,
NamiAd Carry,41.8,0,
NasusTop,49.2,94.8,
NasusJungle,41.1,2,
NasusMid,45.7,2.7,
NasusSupport,38,0.4,
NasusAd Carry,42.1,0.1,
NautilusTop,48.9,8.5,
NautilusJungle,49.9,19.7,
NautilusMid,43.1,0.7,
NautilusSupport,52.7,71.2,
NautilusAd Carry,19.9,0,
NidaleeTop,41.4,8.4,
NidaleeJungle,49.9,76.8,
NidaleeMid,407,11.7,
NidaleeSupport,35.4,3,
NidaleeAd Carry,35.8,0.1,
NocturneTop,51.2,5.9,
NocturneJungle,51.9,87.2,
NocturneMid,52.6,6.7,
NocturneSupport,54.8,0.1,
NocturneAd Carry,67.3,0,
NunuTop,42.1,10.1,
NunuJungle,49.7,67.8,
NunuMid,27.6,5.2,
NunuSupport,43.6,16.9,
NunuAd Carry,43.5,0,
OlafTop,48.2,72.9,
OlafJungle,48.4,24.6,
OlafMid,45.6,2.2,
OlafSupport,36.8,0.3,
OlafAd Carry,63.5,0,
OriannaTop,45.1,0.9,
OriannaJungle,47,0.8,
OriannaMid,47.5,97.3,
OriannaSupport,45.8,1,
OriannaAd Carry,42.4,0.1,
PantheonTop,50.1,37.3,
PantheonJungle,51.6,53.9,
PantheonMid,50.8,7.2,
PantheonSupport,48.8,1.5,
PantheonAd Carry,47.3,0.1,
PoppyTop,48.8,53.1,
PoppyJungle,50.6,36.8,
PoppyMid,35.7,2.1,
PoppySupport,50.7,7.7,
PoppyAd Carry,57.6,0.2,
QuinnTop,50,31.4,
QuinnJungle,42.4,3.2,
QuinnMid,44.8,3.5,
QuinnSupport,58.8,0.3,
QuinnAd Carry,49.3,61.7,
RammusTop,52.4,11.6,
RammusJungle,52.2,84.2,
RammusMid,34.2,1.9,
RammusSupport,48.3,2.2,
RammusAd Carry,50.4,0,
Rek'SaiTop,47.2,2.9,
Rek'SaiJungle,47.1,96.1,
Rek'SaiMid,33.4,0.8,
Rek'SaiSupport,40.1,0.2,
Rek'SaiAd Carry,19.8,0,
RenektonTop,51.2,95.7,
RenektonJungle,50.4,3,
RenektonMid,45.9,1.1,
RenektonSupport,39.7,0.1,
RenektonAd Carry,51.4,0,
RengarTop,51.2,31.3,
RengarJungle,49.3,66.8,
RengarMid,33.5,0.8,
RengarSupport,47.4,1,
RengarAd Carry,54.9,0.1,
RivenTop,51.2,83.1,
RivenJungle,51,8.2,
RivenMid,48.1,8.5,
RivenSupport,42.2,0.2,
RivenAd Carry,43.9,0.1,
RumbleTop,49.5,93.4,
RumbleJungle,49.1,3,
RumbleMid,51.8,2.8,
RumbleSupport,43.9,0.8,
RumbleAd Carry,37.6,0.1,
RyzeTop,45.2,64.3,
RyzeJungle,41.2,33.7,
RyzeMid,42.6,1.3,
RyzeSupport,41.6,0.5,
RyzeAd Carry,47.3,0.2,
SejuaniTop,42.9,1.3,
SejuaniJungle,49.7,96.1,
SejuaniMid,40.3,1.2,
SejuaniSupport,47,1.4,
SejuaniAd Carry,50.4,0,
ShacoTop,46,5.8,
ShacoJungle,51.3,89.5,
ShacoMid,40.4,2.5,
ShacoSupport,44.7,2.2,
ShacoAd Carry,13.2,0,
ShenTop,51,74,
ShenJungle,47.7,6.8,
ShenMid,41.6,0.6,
ShenSupport,49.1,18.6,
ShenAd Carry,64.5,0,
ShyvanaTop,43.2,20.7,
ShyvanaJungle,50.5,78.3,
ShyvanaMid,36,0.9,
ShyvanaSupport,40.4,0.1,
ShyvanaAd Carry,66.8,0,
SingedTop,49.4,92.4,
SingedJungle,45.3,5.1,
SingedMid,41.1,1.5,
SingedSupport,42.5,1,
SingedAd Carry,0,0,
SionTop,49.5,68.2,
SionJungle,51.1,23.8,
SionMid,45,1.5,
SionSupport,53.4,6.4,
SionAd Carry,27.1,0.1,
SivirTop,50.9,0.3,
SivirJungle,38.3,0.6,
SivirMid,38,0.4,
SivirSupport,30.4,0,
SivirAd Carry,51.9,98.7,
SkarnerTop,42.6,1.2,
SkarnerJungle,52.7,97.5,
SkarnerMid,34.8,0.9,
SkarnerSupport,44.6,0.4,
SkarnerAd Carry,0,0,
SonaTop,43.8,0.3,
SonaJungle,40.3,1,
SonaMid,41.6,0.6,
SonaSupport,51.5,98,
SonaAd Carry,37.1,0,
SorakaTop,46.5,0.3,
SorakaJungle,46,1,
SorakaMid,40.6,0.6,
SorakaSupport,52.4,98,
SorakaAd Carry,25,0,
SwainTop,49.5,29.5,
SwainJungle,42.9,1.1,
SwainMid,51.8,68.4,
SwainSupport,38.3,0.8,
SwainAd Carry,57.3,0.1,
SyndraTop,48.5,1.4,
SyndraJungle,42.6,1.3,
SyndraMid,48.8,95.6,
SyndraSupport,47.3,1.6,
SyndraAd Carry,44.6,0.1,
Tahm KenchTop,45.4,14.9,
Tahm KenchJungle,48.2,14.6,
Tahm KenchMid,31.5,1,
Tahm KenchSupport,47.1,69.5,
Tahm KenchAd Carry,34.1,0,
TalonTop,53.1,5.9,
TalonJungle,48.8,4.3,
TalonMid,52.7,89.2,
TalonSupport,48.6,0.5,
TalonAd Carry,67.5,0.2,
TaricTop,45.1,5.7,
TaricJungle,37.3,3,
TaricMid,30.9,0.9,
TaricSupport,51.5,90.4,
TaricAd Carry,49.6,0,
TeemoTop,50,70.5,
TeemoJungle,37.4,6.9,
TeemoMid,46.7,10.7,
TeemoSupport,47.5,8.6,
TeemoAd Carry,45.2,3.4,
ThreshTop,44.4,0.3,
ThreshJungle,50.2,1.5,
ThreshMid,30.8,0.2,
ThreshSupport,49.9,97.9,
ThreshAd Carry,33.5,0.1,
TristanaTop,45.5,0.4,
TristanaJungle,37.8,0.7,
TristanaMid,34.9,0.5,
TristanaSupport,27.7,0,
TristanaAd Carry,48.1,98.3,
TrundleTop,48.8,55.3,
TrundleJungle,50.1,36.7,
TrundleMid,36,1.1,
TrundleSupport,53.1,6.9,
TrundleAd Carry,40.4,0,
TryndamereTop,52,81.9,
TryndamereJungle,48.1,15.2,
TryndamereMid,47,2.6,
TryndamereSupport,42.9,0.1,
TryndamereAd Carry,48.2,0.1,
Twisted FateTop,47,1.1,
Twisted FateJungle,52,5,
Twisted FateMid,51.6,92.5, 
Twisted FateSupport,45,0.6,
Twisted FateAd Carry,49.7,0.8,
TwitchTop,52.7,1,
TwitchJungle,41.9,9,
TwitchMid,36.3,1,
TwitchSupport,50.8,0.1,
TwitchAd Carry,49.6,88.8,
UdyrTop,41.6,6.9,
UdyrJungle,50.9,91.9,
UdyrMid,33.8,1,
UdyrSupport,31.4,0.2,
UdyrAd Carry,49.7,0,
UrgotTop,43.4,38.6,
UrgotJungle,23.1,3,
UrgotMid,45.8,16.2,
UrgotSupport,44.6,2.8,
UrgotAd Carry,45.5,39.5,
VarusTop,47.2,0.7,
VarusJungle,43.8,0.8,
VarusMid,49,35.9,
VarusSupport,46.5,0.3,
VarusAd Carry,49.6,62.4,
VayneTop,47.2,2.4,
VayneJungle,37.2,0.9,
VayneMid,35.3,0.4,
VayneSupport,28.3,0,
VayneAd Carry,50,96.3,
VeigarTop,52.1,2.7,
VeigarJungle,48.7,1.2,
VeigarMid,53.3,92.8,
VeigarSupport,49.1,3.1,
VeigarAd Carry,49.2,0.1,
Vel'KozTop,47.8,1.4,
Vel'KozJungle,49.9,1.3,
Vel'KozMid,52.4,51.6,
Vel'KozSupport,51,45.5,
Vel'KozAd Carry,36.5,0.2,
ViTop,41.1,1.9,
ViJungle,51.3,96.9,
ViMid,38.8,1,
ViSupport,41.4,0.2,
ViAd Carry,27.5,0,
ViktorTop,47.4,1.1,
ViktorJungle,45.8,0.9,
ViktorMid,48.1,97.7,
ViktorSupport,42.4,0.2,
ViktorAd Carry,37.7,0.1,
VladimirTop,50,72.8,
VladimirJungle,46,1.1,
VladimirMid,49.7,25.8,
VladimirSupport,46.7,0.2,
VladimirAd Carry,46.4,0.1,
VolibearTop,49,38,
VolibearJungle,50.6,52.2,
VolibearMid,37.7,0.8,
VolibearSupport,47.3,9,
VolibearAd Carry,28.8,0,
WarwickTop,46,8,
WarwickJungle,52,90.7,
WarwickMid,36.5,1,
WarwickSupport,48,0.3,
WarwickAd Carry,33.5,0,
WukongTop,53,49.1,
WukongJungle,52.3,44.4,
WukongMid,53.2,5.5,
WukongSupport,50.5,0.9,
WukongAd Carry,54.8,0.1,
XerathTop,44.7,0.7,
XerathJungle,46.7,1.8,
XerathMid,50.5,93.4,
XerathSupport,45.1,3.9,
XerathAd Carry,53,0.2,
Xin ZhaoTop,45,8.2,
Xin ZhaoJungle,51.9,89.9,
Xin ZhaoMid,40.4,1.5,
Xin ZhaoSupport,42.1,0.4,
Xin ZhaoAd Carry,50.3,0,
YasuoTop,51.7,32.2,
YasuoJungle,47.8,3.1,
YasuoMid,50.3,63.9,
YasuoSupport,41.4,0.3,
YasuoAd Carry,56.2,0.5,
YorickTop,48.7,88.7,
YorickJungle,46.4,5.9,
YorickMid,44.8,2.4,
YorickSupport,46.8,3,
YorickAd Carry,50.7,0.1,
ZacTop,52,26.9,
ZacJungle,50.4,70.1,
ZacMid,41.3,1.4,
ZacSupport,44.1,1.6,
ZacAd Carry,49.8,0,
ZedTop,49.3,6.6,
ZedJungle,45.1,2.3,
ZedMid,48.9,90.8,
ZedSupport,45.4,0.2,
ZedAd Carry,39.4,0.1,
ZiggsTop,44.8,1.3,
ZiggsJungle,46.67,1.7,
ZiggsMid,48.8,95.4,
ZiggsSupport,39.3,1.5,
ZiggsAd Carry,49.9,0.1,
ZileanTop,45.4,2.5,
ZileanJungle,42.1,2.1,
ZileanMid,50.8,22.2,
ZileanSupport,49.2,73,
ZileanAd Carry,35.5,0.2,
ZyraTop,48.3,1.1,
ZyraJungle,51.5,2,
ZyraMid,48.4,23.1,
ZyraSupport,50.8,73.6,
ZyraAd Carry,42.4,0.1,
